,tconst,averageRating,numVotes
1144716,tt4310408,5.3,199
87310,tt0115920,7.0,199
85386,tt0113530,7.2,199
1351306,tt7923624,7.4,199
9927,tt0024728,6.6,199
938966,tt2332573,6.2,199
1309365,tt7039558,4.5,199
22472,tt0040154,5.8,199
1381801,tt8636690,5.6,199
82185,tt0109588,4.4,199
1375218,tt8461940,6.6,199
195953,tt0330695,5.0,199
22906,tt0040687,5.5,199
1177051,tt4844752,7.5,199
40018,tt0060600,5.5,199
10935,tt0026082,6.8,199
40928,tt0061668,6.4,199
155325,tt0248109,5.3,199
941532,tt23473086,7.7,199
166778,tt0272116,4.5,199
1177040,tt4844636,3.2,199
81563,tt0108867,7.3,199
1419493,tt9584192,5.6,199
38878,tt0059281,7.7,199
975754,tt2607692,5.2,199
10907,tt0026047,5.9,199
615849,tt1288419,6.9,199
480055,tt10370714,7.3,199
1161315,tt4578910,5.5,199
1145609,tt4324330,6.6,199
116579,tt0168360,8.4,199
968511,tt2535394,4.1,199
879251,tt20873488,5.5,199
10593,tt0025611,5.4,199
942417,tt2354136,3.4,199
82995,tt0110577,6.0,199
396172,tt0794272,6.5,199
88129,tt0116916,4.0,199
1182237,tt4940632,6.0,199
971567,tt2562146,3.4,199
38208,tt0058512,3.9,199
653694,tt1359465,7.2,199
154587,tt0246567,7.6,199
38274,tt0058587,5.7,199
1186084,tt5008256,8.4,199
1297048,tt6802922,6.5,199
879252,tt20873498,5.5,199
837126,tt1877712,5.6,199
598624,tt12531492,7.0,199
154116,tt0245694,7.8,199
228626,tt0405250,6.3,199
736808,tt15309920,6.9,199
115266,tt0166145,5.2,199
476528,tt1031215,7.6,199
1352703,tt7949022,6.9,199
262769,tt0488031,6.4,199
967349,tt2520394,6.1,199
91752,tt0121503,4.2,199
1146177,tt4332746,2.5,199
1165152,tt4650130,6.6,199
86594,tt0115053,5.3,199
867510,tt20258072,6.3,199
596767,tt1249189,6.6,199
19887,tt0036988,5.3,199
495887,tt10644372,3.4,199
403610,tt0815096,6.0,199
938406,tt23298216,6.5,199
86311,tt0114689,6.9,199
481772,tt1039941,6.7,199
259019,tt0479117,2.3,199
80654,tt0107763,3.3,199
1157916,tt4523928,4.8,199
1160002,tt4557998,6.2,199
39953,tt0060525,6.2,199
496136,tt1064942,5.3,199
